citationKey,itemKey,Number
noauthor_power_2024,P2FHZBZ2,72
knabben_wide-input-voltage-range_2020,CEX76RM7,37
zhu_design_2021,CTWMB26L,25
zhang_wide_2014,HF7QYUBU,28
park_design_2014,9DHSZ965,31
hou_variable_nodate,9JQG5Z24,74
aouiti_unidirectional_2020,VI57WME3,51
kim_new_2023,EXGB9V22,8
noauthor_700dng40-24-8_2023,CEGEGETG,76
stolt_spurious-free_2024,F9S52GIS,26
naradhipa_power_2021,DQGIR86L,12
zhu_two-stage_2020,SXC5KYEI,13
lee_development_2023,R3HTMEH3,17
ding_self-adaptive_2021,S8NBI4WD,44
duan_design_2015,V8CX2XVU,30
noauthor_800v_nodate,ELZN8M3R,71
foti_implementation_2022,JHPXTSUZ,62
noauthor_bsc6xx_2023,IX2DTSW5,77
krismer_efficiency-optimized_2012,S93ZWP5S,49
viana_auxiliary_2022,EM88JF8J,14
yu_high_2020,QRAE92S3,1
lee_two-mode_2021,V7Z7Q83H,29
moon_new_2015,Q4JUGPLB,7
noauthor_bcms_nodate,N9IIH8DE,54
sun_dual-bridge_2017-1,BS7QXB32,61
wang_soft_2012,BYM6A8VT,5
zhou_high-efficiency_2021,B3426XEB,2
van_hoek_enhanced_2013,4WBEVQ6M,4
su_three-phase_2008,WXGLWHQ9,52
xu_high_2019,IKQH37F2,
hou_applied_2017,8EJKU7WA,16
sayed_zerovoltage_2019,SGHAXNFW,34
krismer_for_2010,CVMCAMHB,55
lee_new_2022,EKQTKXEX,41
kim_implement_2019,Y66NNDSW,35
krismer_accurate_2010,K2PCKAIJ,22
noauthor_350dnc40-12_nodate,LSG4VF7S,75
kim_topology_2017,3ZWI3EBS,33
kim_integrated_2017,CDDHE4IB,36
pahlevaninezhad_novel_2012,4CXST3VN,3
noauthor_vitesco_nodate,XPFQFC7Y,65
zhu_ultra-high_2023,CQXKLCRV,20
salato_double-clamp_2012,J6ZTSTD5,11
hoek_design_2017,XVMBM6K6,27
chen_dc-dc_2021,XIJ2RVSH,42
liu_integrated_2020,PQYQ4RN5,38
noauthor_lsm4k0-400-2_nodate,FE8YUYXZ,73
krismer_accurate_2009,NP642NW3,24
montazerolghaem_zero-voltage-switching_2023,3LTFIZNH,48
noauthor_400v_nodate,GVWAASJU,69
pang_high-frequency_2016,UMSK6GHW,57
hou_evaluation_2015,Y9XYILBK,15
mukherjee_multiport_2024,W5I2SP4V,45
pahlevaninezhad_load_2012,V3CSN6NF,23
noauthor_dc_nodate,PT3PV3TK,68
zhu_model_2024,MFEBJ7W7,10
hillers_design_2012,4Y7UEVDT,64
reusch_high_2012,NEAW83WH,59
noauthor_pp30_power_2018,JD6ZEGEX,66
zeljkovic_efficiency_2014,WGEPS8VF,50
hou_primary_2017,ZDEUF5YT,21
noauthor_high-voltage_2021,TW9UHIWR,67
cho_transformer_2012,IPJK8ESY,39
baars_performance_2016,3LRAT3Z4,6
young-do_kim_zvs_2009,3LPAZP55,40
hamza_implementation_2013,ZRTG4E9A,32
yu_effective_2021,V4B9BFMH,46
gandluru_identifying_2024,JK7FYUB3,43
bertino_design_2019,MMLQNX9V,53
wouters_interleaved_2024,5LRWRN5C,63
sun_interleaved_2015,8U6NIID5,58
inoue_design_2021,7R47DTII,18
gu_fixed-frequency_2023,QA6I2DZ6,9
jeong_two-transformer_2023,WALCI7AK,47
noauthor_high-voltage_2023,MAKMQZP3,70
yang_double-phase_2015,D58RNFFM,19
zhang_eth_nodate,Z4L5ABDF,56
hou_variable_2023,GZ83EA2X,60
