"Key","Publication Year","Title","Rights","Archive","Archive Location"
"BYM6A8VT","2012","A soft switching three-phase current-fed bidirectional DC-DC converter with high efficiency over a wide input voltage range","FSU","Vin=24-48V, Vo=288V, fs = 40kHz","Power=6kW, Eff_pk=0.964,  Eff_avg=0.94, Eff_low=0.92(2.5kW)"
"Q4JUGPLB","2015","New interleaved current-fed resonant converter with significantly reduced high current side output filter for EV and HEV applications","","",""
"QA6I2DZ6","2023","Fixed-frequency circulant phase-shift controlled current-fed resonant converter with wide voltage gain range","HIT Shenzhen","",""
"MFEBJ7W7","2024","Model and control of a current-fed dual active bridge based ultrawide-voltage-range auxiliary power module for 400 V/800 V electric vehicles","UTK","Vin=180-900V, Vo=6-16V, fs=80kHz","Power=3.2kW, PD=1.38kW/L, Eff_pk=0.97,  Eff_avg=0.95"
"CQXKLCRV","2023","An ultra-high gain current-fed universal auxiliary power module for 400V/800V electric vehicles","UTK","",""
"UI27D7B2","2015","Naturally Clamped Soft-Switching Current-Fed Three-Phase Bidirectional DC/DC Converter","","",""
"GWQ2UJFG","2021","Hybrid-PWM-Controlled Current-Fed Bidirectional Series Resonant Converter With Low Current Ripple and Wide Voltage Gain","","",""
"7YRU3PER","2024","An Interleaved Current-Fed Integrated LLC Resonant Converter With Input Current Ripple Cancellation","","",""
"ATET4KMW","2021","Highly Efficient Bidirectional Current-Fed Resonant Converter Over a Wide Voltage Gain Range","","",""
"VK53LW7W","2021","Bidirectional Current-Fed CLLC Resonant Converter Employing Asymmetric PWM","","",""
