"Key","Publication Year","Title","Rights","Archive","Archive Location"
"KDS5WX3Z","2021","A Novel Three-level Phase-Shift Modulation for Serial Half Bridge LLC Resonant Converter","","",""
"XV5LD2GK","2021","Dual Phase LLC Resonant Converter With Variable Frequency Zero Circulating Current Phase-Shift Modulation for Wide Input Voltage Range Applications","University of Malaya","",""
"5WIEMC4V","2023","Generalized Multiphase-Shift Transient Modulation for Dual-Active-Bridge Series-Resonant Converter","","",""
"RJQHBXF5","2022","Modulation Transition Methods Based on Trajectory Control for LLC Resonant Converters Operating in Wide Input- and/or Output-Voltage Range","","",""
"BS7QXB32","2017","Dual-Bridge LLC Resonant Converter With Fixed-Frequency PWM Control for Wide Input Applications","","",""
"KUC9FYQ7","2022","Adaptive Modulation of Resonant DAB Converters for Wide Range ZVS Operation With Minimum Reactive Circulating Power","","",""
"HT24DA6K","2021","Design Considerations for a 50 kW Dual Bridge Series Resonant DC/DC Converter with Wide-Input Voltage Range for Solid-State Transformers","","",""
"CNENCE9U","2022","Total Suppression of High-Frequency Transient Oscillations in Dual-Active-Bridge Series-Resonant Converter by Trajectory-Switching Modulation","","",""
"82Z6T75S","2022","GaN-based High Frequency 6.6kW Bi-directional DC/DC Converter for OBC Application","","",""
"QSETZB6W","2023","GaN-based High-Frequency, High-Power-Density, 2-in-1 Bi-directional OBC Design for EV Applications","","",""
"YHWQFHYP","2024","GaN and SiC Based 500kHz Resonant Bidirectional DC/DC Design for 800V OBCM Application","","",""
"MDG46CGQ","2024","Comparative Evaluation of a DAB Converter and SRC for DC Buildings Application","","",""
"8WMSPWW3","2019","Operation of a Bidirectional Series-Resonant Converter With Minimized Tank Current and Wide ZVS Range","","",""
"EEMPKKQ3","2023","A Family of Bidirectional Series Resonant Converter With Sine-Wave Modulation in Wide Voltage Range","","",""
"HNA78TM4","2019","Investigation of Zero Voltage Switching Capability for Bidirectional Series Resonant Converter Using Phase-Shift Modulation","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","",""
"KV933MIQ","2010","Analysis and Design of High-Frequency Isolated Dual-Bridge Series Resonant DC/DC Converter","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","",""
"P6WH3P4K","2016","LLC Resonant Converter With Semiactive Variable-Structure Rectifier (SA-VSR) for Wide Output Voltage Range Application","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","",""
"SGQ7XAHQ","2024","A Simple Variable Frequency and Single Phase Shifted Control for the Dual Active Bridge Series Resonant Converter","","",""
"GN94U9AA","2022","Nonlinear Implementable Control of a Dual Active Bridge Series Resonant Converter","","",""
"FWW2KC2Q","2023","A Bidirectional Isolated Dual-Phase-Shift Variable-Frequency Series Resonant Dual-Active-Bridge GaN AC–DC Converter","","",""
"UKW2V2W6","2024","Phase-Shift Full-Bridge (PSFB) Converter Integrated Double-Inductor Rectifier With Separated Resonant Circuits (SRCs) for 800-V High-Power Electric Vehicles","","",""
"RFBW2VFB","2023","Dynamic Response Optimization of a DABSRC Based on Feedforward Control","","",""
"Q3R9ISTP","2020","Highly Efficient Bidirectional Series-Resonant DC/DC Converter Over Wide Range of Battery Voltages","Pohang University of Science and Technology","Vin=250-415V, Vo=400V, fs=50kHz","Power=3.3kW, Eff_pk=0.978,  Eff_avg=0.955"
"E47BY7P8","2017","A Frequency Adaptive Phase Shift Modulation Control Based LLC Series Resonant Converter for Wide Input Voltage Applications","","",""
"TMG7P8P6","2020","Burst-Mode and Phase-Shift Hybrid Control Method of LLC Converters for Wide Output Range Applications","","",""
"HS89YXY5","2021","A Dual-Bridge DC–DC Resonant Converter Using Extended PWM and Phase-Shift Control","","",""
"66TPIRQU","2017","ZVS Soft Switching Boundaries for Dual Active Bridge DC–DC Converters Using Frequency Domain Analysis","","",""
"P2LUIBFV","2019","General Closed-Form ZVS Analysis of Dual-Bridge Series Resonant DC–DC Converters","","",""
"74E3N7FG","2019","Wide-Range ZVS Control Technique for Bidirectional Dual-Bridge Series-Resonant DC–DC Converters","","",""
"2SM5XESI","2022","An Asymmetrical DAB Converter Modulation and Control Systems to Extend the ZVS Range and Improve Efficiency","","",""
"ZVD3CMH8","2024","ZVS Boundary Assessment for T-type-based Dual Active Bridge Series Resonant Converters using State-Plane Analysis","","",""
"ULAXW4BN","2020","Time-Domain Efficiency Optimization Evaluation for Series Resonant Converter with Variable Frequency plus Shift Phase Control","","",""
"EEUYAH45","2018","Control Technique for Wide-Range ZVS of Bidirectional Dual-bridge Series Resonant dc-dc Converters","","",""
"SDVYZKLF","2018","A Low-Complexity Trajectory Controller for Reduced Conduction Losses in Series-Resonant Dual Half-Bridge Converters","","",""
"F8GGVP6A","2017","Accurate ZVS boundary analysis for bidirectional dual-bridge series resonant dc-dc converters","","",""
"NJE4Q6JC","2012","Minimum Current Operation of Bidirectional Dual-Bridge Series Resonant DC/DC Converters","","",""
"H9NBVZ42","2024","Low-Side-Extended-Phase-Shift-Under-Resonant Modulation Scheme for Dual-Bridge-Series-Resonant Converter","","",""
"A8N56FJ5","2024","Underresonant Modulation Scheme for Dual-Bridge Series-Resonant Converter","","",""
"BATBQPRG","2023","Hybrid-Level Modulation Scheme for Dual-Bridge Series-Resonant Converter","","",""
"G6A55KQB","2019","A Four-Degrees-of-Freedom Modulation Strategy for Dual-Active-Bridge Series-Resonant Converter Designed for Total Loss Minimization","","",""
"VIZRV5X9","2023","A Bidirectional Isolated Dual-Phase-Shift Variable-Frequency Series Resonant Dual-Active-Bridge GaN AC–DC Converter","","",""
"92MV2RPZ","2021","PWM-Controlled Series Resonant Converter for Universal Electric Vehicle Charger","Industry Delta","Vin=800V, Vo=200-950V, fs=60kHz","Power=3kW, Eff_pk=0.9854,  Eff_avg=0.95"
"EDX6ZEHS","2023","A Control Strategy for the Bidirectional LLC-L Converter to Extend the Gain Range Based on the Time Domain Analytical Model","","",""
"TD87NBCF","2023","Bi-directional Operation Mode of LLC/CLLC DC/DC Converter for On Board Charger of 800V Battery Systems","","",""
"F5RJYQPT","2022","Bidirectional Resonant Converter With Minimized Switching Loss Over Wide Operating Voltage Range","","",""
"JGT6HYHI","2022","Bidirectional Resonant Converter With Minimized Switching Loss Over Wide Operating Voltage Range","","",""
"AAJAU8V4","","Highly Integrated Ultra-Compact Three-Port Converter Systems for Automotive Applications","ETH","Vin=250-500V, Vo=10.5-15V, fs = 100kHz","Power=3kW, PD=16.4kW/L, Eff_pk=0.966, Eff_avg = 0.95"
