"Key","Publication Year","Title","Rights","Archive","Archive Location"
"4CXST3VN","2012","A Novel ZVZCS Full-Bridge DC/DC Converter Used for Electric Vehicles","Queen's","Vin=235-431V, Vo=11.5-15V, fs=220kHz","Power=3kW, Eff_pk=0.975,  Eff_avg=0.955, Eff_low=0.93"
"EXGB9V22","2023","New integrated DC–DC conversion system for electric vehicles","Yonsei Univ.","Vin=135-170V, Vo=12V, fs=90kHz","Power=1.2kW, Eff_pk=0.98, Eff_avg = 0.96"
"DQGIR86L","2021","Power density optimization of 700 kHz GaN-based auxiliary power module for electric vehicles","Seoul Tech","Vin=200-310V, Vo=12.8-15.1V, fs=700kHz","Power=1.8kW, PD=8.1kW/L, Eff_pk=0.9187,  Eff_avg=0.9, Eff_low=0.9(800W)"
"R3HTMEH3","2023","Development of phase-shift full-bridge converter with integrated winding planar two-transformer for LDC","Inha Univ.","Vin=400-800V, Vo=13-15V, fs=200kHz","Power=2.1kW, PD=5.2kW/L, Eff_pk=0.954,  Eff_avg=0.935, Eff_low=0.95(1kW)"
"V3CSN6NF","2012","A load adaptive control approach for a zero-voltage-switching DC/DC converter used for electric vehicles","Queen's","",""
"V7Z7Q83H","2021","Two-mode low-voltage DC/DC converter with high and wide input voltage range","Inha Univ.","Vin=350-800V, Vo=13.9V, fs=70kHz","Power=0.6kW, Eff_pk=0.926, Eff_avg = 0.91"
"ZRTG4E9A","2013","Implementation of a novel digital active EMI technique in a DSP-based DC–DC digital controller used in electric vehicle (EV)","Queen's","Vin=235-431V, Vo=11.5-15V, fs=200kHz","Power=2kW,  Eff_pk=0.932,  Eff_avg=0.92, Eff_low=0.93"
"PQYQ4RN5","2020","Integrated magnetics design for a full-bridge phase-shifted converter","National Ilan Univ.","Vin=400V, Vo=12V, fs=80kHz","Power=1.7kW, PD=2.28kW/L(case), Eff_pk=0.967, Eff_avg = 0.955"
"IPJK8ESY","2012","Transformer integrated with additional resonant inductor for phase-shift full-bridge converter with primary clamping diodes","KAIST","Vin=320-400V, Vo=12V, fs = 86kHz","Power=1.2kW, Eff_pk=0.957, Eff_avg = 0.945"
"3LPAZP55","2009","ZVS phase shift full bridge converter with separated primary winding","KAIST","Vin=329-400V, Vo=12V, fs=86kHz","Power=1.2kW, Eff_pk=0.956, Eff_avg=0.945"
"S8NBI4WD","2021","Self-adaptive synchronous rectifier control algorithm of phase-shifted full bridge current double rectifier converter","ZJU","Vin=280-400V, Vo=14V, fs=100kHz","Power=1.5kW, Eff_pk=0.93, Eff_avg = 0.913"
"WALCI7AK","2023","Two-transformer phase-shift full-bridge converter with a new rectifier for reducing conduction loss","Inha Univ.","Vin=300-400V, Vo=12V, fs=100kHz","Power=0.4kW, Eff_pk=0.937, Eff_avg = 0.91"
"WGEPS8VF","2014","Efficiency optimized single-stage reconfigurable DC/DC converter for hybrid and electric vehicles","Industry Infineon","Vin=180-420V, Vo=10.6-16V, fs=100kHz","Power=1.05kW, Eff_pk=0.9"
"QSETZB6W","2023","GaN-based High-Frequency, High-Power-Density, 2-in-1 Bi-directional OBC Design for EV Applications","Industry Navitas","Vin=280-460V, Vo=9-16V, fs = 400kHz","Power=3kW, PD=3.9kW/L, Eff_pk=0.966,  Eff_avg=0.93"
"IFDWGHPC","2025","3.5kW, 800V to 14V DC-DC Converter Reference Design","Industry Texas Instrument","Vin=900-400V, Vo=9-16V, fs = 200kHz","Power=3.5kW, PD=1.698kW/L, Eff_pk=0.96734, Eff_avg = 0.95"
