"Key","Publication Year","Title","Rights","Archive","Archive Location"
"QRAE92S3","2020","A high frequency CLLLC bi-directional series resonant converter DAB using an integrated PCB winding transformer","Industry Texas Instrument","Vin=380-600V, Vo=300-420V, fs=500kHz","Power=6.6kW, PD=4.64kW/L, Eff_pk=0.98, Eff_avg=0.965"
"B3426XEB","2021","A high-efficiency high-power-density on-board low-voltage DC–DC converter for electric vehicles application","Queen'sU","Vin=250-430V, Vo=9-16V, fs = 260-400kHz","Power=3kW, PD=3kW/L, Eff_pk=0.969,  Eff_avg=0.95, Eff_low=0.961"
"SXC5KYEI","2020","Two-stage vs one-stage design for a bidirectional 400V/12V 6kW auxiliary power module in electric vehicles","UTK","",""
"D58RNFFM","2015","Double-phase high-efficiency, wide load range high- voltage/low-voltage LLC DC/DC converter for electric/hybrid vehicles","Supélec","Vin=330-410V, Vo=14V, fs=250kHz","Power=2.5kW, PD=1kW/L, Eff_pk=0.95,  Eff_avg=0.94, Eff_low=0.943(1kW)"
"CTWMB26L","2021","Design a 400 V–12 V 6 kW bidirectional auxiliary power module for electric or autonomous vehicles with fast precharge dynamics and zero DC-bias current","UTK","Vin=250-450V, Vo=10-16V, fs = 200kHz","Power=6kW, PD=2.6 kW/L, Eff_pk=0.962,  Eff_avg=0.94, Eff_low=0.96(1kW)"
"HF7QYUBU","2014","A wide bandgap device-based isolated quasi-switched-capacitor DC/DC converter","OSU","Vin=300V, Vo=12V, fs=500-600kHz","Power=1kW, PD=0.957(case), Eff_pk=0.96, Eff_avg=0.91"
"V8CX2XVU","2015","Design of a 2.5-kW 400/12-V high-efficiency DC/DC converter using a novel synchronous rectification control for electric vehicles","Kettering Univ.","Vin=220-450V, Vo=6-16V, fs = 90-200kHz","Power=2.5kW,  Eff_pk=0.932,  Eff_avg=0.92, Eff_low=0.93(1kW)"
"9DHSZ965","2014","Design and control of a bidirectional resonant DC–DC converter for automotive engine/battery hybrid power generators","Seoul Tech","Vin=380-400V, Vo=24-28V, fs=48kHz","Power=5kW,  Eff_pk=0.9513,  Eff_avg=0.934, Eff_low=0.9508(1.5kW)"
"CDDHE4IB","2017","An integrated battery charger with high power density and efficiency for electric vehicles","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","",""
"CEX76RM7","2020","Wide-input-voltage-range 3 kW DC-DC converter with hybrid LLC & boundary / discontinuous mode control","ETH","",""
"GZ83EA2X","2023","Variable Turns-Ratio Matrix Transformer based LLC Converter for Two-Stage Electric Vehicle Auxiliary Power Module Applications","","",""
"BS7QXB32","2017","Dual-Bridge LLC Resonant Converter With Fixed-Frequency PWM Control for Wide Input Applications","","",""
"5LRWRN5C","2024","Interleaved PCB Winding Planar Transformer for Electric Vehicle Charging CLLC Converters","","",""
"4Y7UEVDT","2012","Design of a Highly efficient bidirectional isolated LLC resonant converter","ETH","Vin=450V, Vo=17-56V, fs=140kHz","Power=1.65kW, Eff_pk=0.976, Eff_avg = 0.96"
"92MV2RPZ","2021","PWM-Controlled Series Resonant Converter for Universal Electric Vehicle Charger","","",""
"UZKFINRE","2019","A Structure-Reconfigurable Series Resonant DC–DC Converter With Wide-Input and Configurable-Output Voltages","","",""
"J2H9K8GY","2012","Analysis and Design of a Three-Level LLC Series Resonant Converter for High- and Wide-Input-Voltage Applications","","",""
"EA9SA6V9","2017","Interleaved LLC Resonant Converter With Hybrid Rectifier and Variable-Frequency Plus Phase-Shift Control for Wide Output Voltage Range Applications","","",""
"NVF6KPA8","","A Bidirectional Resonant DC–DC Converter Suitable for Wide Voltage Gain Range","","",""
"YDIR8WHU","","A Structure-Reconfigurable Series Resonant DC–DC Converter With Wide-Input and Configurable-Output Voltages","","",""
