Year,Institution,RealKey,Citationkey,Refnumber,Vo_min,Vo_max,Vin_min,Vin_max,fs_min,fs_max,Power,Density,Eff_pk,Eff_avg
2018,ETH,UV25BGEU,knabben_new_2018,2,12,,300,430,300,,3,21.35,0.94,0.93
2016,,DFKIQ9EP,jiang_bidirectional_2016,3,,,,,,,,,,
2021,Queen's,B3426XEB,zhou_high-efficiency_2021,4,9,16,250,430,260,400,3,3,0.969,0.95
2012,Queen's,4CXST3VN,pahlevaninezhad_novel_2012,5,11.5,15,235,431,220,,3,,0.975,0.955
2023,,JT9KULZ9,yu_time-domain_2023,6,,,,,,,,,,
2022,,3R7JF6MT,lin_three-port_2022,7,,,,,,,,,,
2013,RWTH,4WBEVQ6M,van_hoek_enhanced_2013,8,10,16,100,170,100,,2,1,0.943,0.928
2012,FSU,BYM6A8VT,wang_soft_2012,9,288,,24,48,40,,6,6.89,0.964,0.94
2021,,DSLA4AD5,purgat_zero_2021,10,,,,,,,,,,
2015,,Q4JUGPLB,moon_new_2015,11,12,,200,400,66,,2,,0.959,0.94
2023,,6DHK6GK9,yu_impedance_2023,12,,,,,,,,,,
2023,Yonsei Univ.,EXGB9V22,kim_new_2023,13,12,,135,170,90,,1.2,,0.98,0.96
2021,,DUIHYTLW,tang_three-port_2021,14,,,,,,,,,,
2017,,JJ6JL2TL,andrade_modified_2017,15,,,,,,,,,,
2022,,LRYTFD6T,wang_topology-level_2022,16,,,,,,,,,,
2023,,AFHZAAB6,wu_modeling_2023,17,,,,,,,,,,
2020,,CTCZ6XEF,dao_high-efficiency_2020,18,,,,,,,,,,
2019,,MAE2MLR7,wang_hardware_2019,19,,,,,,,,,,
2019,,NNZGKVR9,tran_open-loop_2019,20,,,,,,,,,,
2022,,MRXWYHSZ,wu_series_2022,21,,,,,,,,,,
2023,,HLRKA33L,zhang_research_2023,22,,,,,,,,,,
2023,,BQ7TWZXF,chakraborty_design_2023,23,,,,,,,,,,
2008,,TDF6N7DS,tao_transformer-coupled_2008,24,,,,,,,,,,
2022,,RIDI4FK9,cao_novel_2022,25,,,,,,,,,,
2012,,4N6IIMKP,wang_asymmetrical_2012,26,,,,,,,,,,
2023,,Z75U2ZTZ,cai_dynamic_2023,27,,,,,,,,,,
2024,https://creativecommons.org/licenses/by-nc-nd/4.0/,5Z8JUTZ8,goudarzitaemeh_bidirectional_2024,28,,,,,,,,,,
2024,UTK,MFEBJ7W7,zhu_model_2024,29,6,16,180,900,80,,3.2,1.38,0.97,0.95
2012,Industry Vicor,J6ZTSTD5,salato_double-clamp_2012,30,12.5,15.5,160,420,,,0.45,54,0.934,0.94
2021,Seoul Tech,DQGIR86L,naradhipa_power_2021,31,12.8,15.1,200,310,700,,1.8,8.1,0.9187,0.9
2022,U of T,EM88JF8J,viana_auxiliary_2022,32,,,,,,,,,,
2015,McMaster,Y9XYILBK,hou_evaluation_2015,33,,,,,,,,,,
2017,McMaster,8EJKU7WA,hou_applied_2017,34,,,,,,,,,,
2023,Inha Univ.,R3HTMEH3,lee_development_2023,35,13,15,400,800,200,,2.1,5.2,0.954,0.935
2015,Sup??lec,D58RNFFM,yang_double-phase_2015,36,14,,330,410,250,,2.5,1,0.95,0.94
2023,UTK,CQXKLCRV,zhu_ultra-high_2023,37,,,,,,,,,,
2017,McMaster,ZDEUF5YT,hou_primary_2017,38,12,,100,320,100,,0.72,0.363,0.935,0.9
2010,ETH,K2PCKAIJ,krismer_accurate_2010,39,11,16,240,450,100,,2,1.535,0.956,0.92
2012,Queen's,V3CSN6NF,pahlevaninezhad_load_2012,40,,,,,,,,,,
2009,ETH,NP642NW3,krismer_accurate_2009,41,,,,,,,,,,
2021,UTK,CTWMB26L,zhu_design_2021,42,10,16,250,450,200,,6,2.22,0.962,0.94
2024,,F9S52GIS,stolt_spurious-free_2024,43,,,,,,,,,,
2017,RWTH,XVMBM6K6,hoek_design_2017,44,10,16,260,450,100,,3,1,0.956,0.921
2014,OSU,HF7QYUBU,zhang_wide_2014,45,12,,300,,500,600,1,0.957,0.96,0.91
2021,Inha Univ.,V7Z7Q83H,lee_two-mode_2021,46,13.9,,350,800,70,,0.6,,0.926,0.91
2015,Kettering Univ.,V8CX2XVU,duan_design_2015,47,6,16,220,450,90,200,2.5,,0.932,0.92
2014,Seoul Tech,9DHSZ965,park_design_2014,48,24,28,380,400,48,,5,,0.9513,0.934
2013,Queen's,ZRTG4E9A,hamza_implementation_2013,49,11.5,15,235,431,200,,2,,0.932,0.92
2017,SKKU,3ZWI3EBS,kim_topology_2017,50,,,,,,,,,,
