Year,Institution,RealKey,Citationkey,Refnumber,Vo_min,Vo_max,Vin_min,Vin_max,fs_min,fs_max,Power,Density,Eff_pk,Eff_avg
2020.0,Industry Texas Instrument,QRAE92S3,yu_high_2020,1,300.0,420.0,380.0,600.0,500.0,,6.6,4.64,0.98,0.965
2021.0,Queen'sU,B3426XEB,zhou_high-efficiency_2021,2,9.0,16.0,250.0,430.0,260.0,400.0,3.0,3.0,0.969,0.95
2012.0,Queen'sU,4CXST3VN,pahlevaninezhad_novel_2012,3,11.5,15.0,235.0,431.0,220.0,,3.0,,0.975,0.955
2013.0,RWTH,4WBEVQ6M,van_hoek_enhanced_2013,4,10.0,16.0,100.0,170.0,100.0,,2.0,1.0,0.943,0.928
2012.0,FSU,BYM6A8VT,wang_soft_2012,5,288.0,,24.0,48.0,40.0,,6.0,,0.964,0.94
2016.0,TU/e,3LRAT3Z4,baars_performance_2016,6,,,,,,,,,,
2015.0,,Q4JUGPLB,moon_new_2015,7,,,,,,,,,,
2023.0,Yonsei Univ.,EXGB9V22,kim_new_2023,8,12.0,,135.0,170.0,90.0,,1.2,,0.98,0.96
2023.0,HIT Shenzhen,QA6I2DZ6,gu_fixed-frequency_2023,9,,,,,,,,,,
2024.0,UTK,MFEBJ7W7,zhu_model_2024,10,6.0,16.0,180.0,900.0,80.0,,3.2,,0.97,0.95
2012.0,Industry Vicor,J6ZTSTD5,salato_double-clamp_2012,11,12.5,15.5,160.0,420.0,,,0.45,54.0,0.934,0.94
2021.0,Seoul Tech,DQGIR86L,naradhipa_power_2021,12,12.8,15.1,200.0,310.0,700.0,,1.8,8.1,0.9187,0.9
2020.0,UTK,SXC5KYEI,zhu_two-stage_2020,13,,,,,,,,,,
2022.0,U of T,EM88JF8J,viana_auxiliary_2022,14,,,,,,,,,,
2015.0,McMaster,Y9XYILBK,hou_evaluation_2015,15,,,,,,,,,,
2017.0,McMaster,8EJKU7WA,hou_applied_2017,16,,,,,,,,,,
2023.0,Inha Univ.,R3HTMEH3,lee_development_2023,17,13.0,15.0,400.0,800.0,200.0,,2.1,5.2,0.954,0.935
2021.0,Industry Toyota Central R&D Labs,7R47DTII,inoue_design_2021,18,,,,,,,,,,
2015.0,Supélec,D58RNFFM,yang_double-phase_2015,19,14.0,,330.0,410.0,250.0,,2.5,1.0,0.95,0.94
2023.0,UTK,CQXKLCRV,zhu_ultra-high_2023,20,,,,,,,,,,
2017.0,McMaster,ZDEUF5YT,hou_primary_2017,21,12.0,,100.0,320.0,100.0,,0.72,0.363,0.977,0.935
2010.0,ETH,K2PCKAIJ,krismer_accurate_2010,22,11.0,16.0,240.0,450.0,100.0,,2.0,1.535,0.956,0.92
2012.0,Queen'sU,V3CSN6NF,pahlevaninezhad_load_2012,23,,,,,,,,,,
2009.0,ETH,NP642NW3,krismer_accurate_2009,24,,,,,,,,,,
2021.0,UTK,CTWMB26L,zhu_design_2021,25,10.0,16.0,250.0,450.0,200.0,,6.0,2.6,0.962,0.94
2024.0,,F9S52GIS,stolt_spurious-free_2024,26,,,,,,,,,,
2017.0,RWTH,XVMBM6K6,hoek_design_2017,27,10.0,16.0,260.0,450.0,100.0,,3.0,1.0,0.956,0.921
2014.0,OSU,HF7QYUBU,zhang_wide_2014,28,12.0,,300.0,,500.0,600.0,1.0,0.957,0.96,0.91
2021.0,Inha Univ.,V7Z7Q83H,lee_two-mode_2021,29,13.9,,350.0,800.0,70.0,,0.6,,0.926,0.91
2015.0,Kettering Univ.,V8CX2XVU,duan_design_2015,30,6.0,16.0,220.0,450.0,90.0,200.0,2.5,,0.932,0.92
2014.0,Seoul Tech,9DHSZ965,park_design_2014,31,24.0,28.0,380.0,400.0,48.0,,5.0,,0.9513,0.934
2013.0,Queen'sU,ZRTG4E9A,hamza_implementation_2013,32,11.5,15.0,235.0,431.0,200.0,,2.0,,0.932,0.92
2017.0,SKKU,3ZWI3EBS,kim_topology_2017,33,,,,,,,,,,
2019.0,http://onlinelibrary.wiley.com/termsAndConditions#vor,SGHAXNFW,sayed_zerovoltage_2019,34,,,,,,,,,,
2019.0,Daejin Univ.,Y66NNDSW,kim_implement_2019,35,,,,,,,,,,
2017.0,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,CDDHE4IB,kim_integrated_2017,36,,,,,,,,,,
2020.0,ETH,CEX76RM7,knabben_wide-input-voltage-range_2020,37,,,,,,,,,,
2020.0,National Ilan Univ.,PQYQ4RN5,liu_integrated_2020,38,12.0,,400.0,,80.0,,1.7,2.28,0.967,0.955
2012.0,KAIST,IPJK8ESY,cho_transformer_2012,39,12.0,,320.0,400.0,86.0,,1.2,,0.957,0.945
2009.0,KAIST,3LPAZP55,young-do_kim_zvs_2009,40,12.0,,329.0,400.0,86.0,,1.2,,0.956,0.945
2022.0,Inha Univ.,EKQTKXEX,lee_new_2022,41,,,,,,,,,,
2021.0,,XIJ2RVSH,chen_dc-dc_2021,42,,,,,,,,,,
2024.0,Industry Wolfspeed,JK7FYUB3,gandluru_identifying_2024,43,,,,,,,,,,
2021.0,Zhejiang Univ.,S8NBI4WD,ding_self-adaptive_2021,44,14.0,,280.0,400.0,100.0,,1.5,,0.93,0.913
2024.0,ORNL,W5I2SP4V,mukherjee_multiport_2024,45,,,,,,,,,,
2021.0,Seoul Tech,V4B9BFMH,yu_effective_2021,46,,,,,,,,,,
2023.0,Inha Univ.,WALCI7AK,jeong_two-transformer_2023,47,12.0,,300.0,400.0,100.0,,0.4,,0.937,0.91
2023.0,IUT,3LTFIZNH,montazerolghaem_zero-voltage-switching_2023,48,,,,,,,,,,
2012.0,,S93ZWP5S,krismer_efficiency-optimized_2012,49,,,,,,,,,,
2014.0,Industry Infineon,WGEPS8VF,zeljkovic_efficiency_2014,50,10.6,16.0,180.0,420.0,100.0,,1.05,,0.9,
2020.0,,VI57WME3,aouiti_unidirectional_2020,51,,,,,,,,,,
2008.0,ORNL,WXGLWHQ9,su_three-phase_2008,52,42.0,,250.0,400.0,40.0,,6.0,,0.959,0.948
2019.0,,MMLQNX9V,bertino_design_2019,53,,,,,,,,,,
,,N9IIH8DE,noauthor_bcms_nodate,54,,,,,,,,,,
2010.0,,CVMCAMHB,krismer_for_2010,55,,,,,,,,,,
,,Z4L5ABDF,zhang_eth_nodate,56,,,,,,,,,,
2016.0,,UMSK6GHW,pang_high-frequency_2016,57,,,,,,,,,,
2015.0,,8U6NIID5,sun_interleaved_2015,58,,,,,,,,,,
2012.0,,NEAW83WH,reusch_high_2012,59,,,,,,,,,,
2023.0,,GZ83EA2X,hou_variable_2023,60,,,,,,,,,,
2017.0,,BS7QXB32,sun_dual-bridge_2017-1,61,,,,,,,,,,
2022.0,,JHPXTSUZ,foti_implementation_2022,62,,,,,,,,,,
2024.0,,5LRWRN5C,wouters_interleaved_2024,63,,,,,,,,,,
2012.0,ETH,4Y7UEVDT,hillers_design_2012,64,17.0,56.0,450.0,,140.0,,1.65,,0.976,0.96
,Industry Vitesco Technologies,XPFQFC7Y,noauthor_vitesco_nodate,65,8.0,16.0,245.0,450.0,,,3.6,1.5,,
2018.0,Industry Inovance Auomotive,JD6ZEGEX,noauthor_pp30_power_2018,66,9.0,16.0,180.0,480.0,,,3.0,,0.975,0.955
2021.0,,TW9UHIWR,noauthor_high-voltage_2021,67,10.5,15.5,240.0,475.0,,,3.6,,0.95,0.922
,Industry ev mobility,PT3PV3TK,noauthor_dc_nodate,68,6.0,18.0,200.0,420.0,,,1.5,0.251,0.951,0.92
,Industry Delta,GVWAASJU,noauthor_400v_nodate,69,9.0,16.0,200.0,480.0,,,2.5,1.785,0.953,0.921
2023.0,Industry Eaton,MAKMQZP3,noauthor_high-voltage_2023,70,12.0,16.0,225.0,455.0,,,3.0,0.645,0.941,0.927
,Industry Delta,ELZN8M3R,noauthor_800v_nodate,71,9.0,16.0,390.0,935.0,,,3.0,,,0.955
2024.0,Industry Vicor,P2FHZBZ2,noauthor_power_2024,72,13.8,,400.0,,1300.0,,4.0,5.22,0.95,0.95
